,Edad (3 grupos de edad),Españoles/Extranjeros,Sexo,Año,Total,cod_prov,provincias
535,65 y más,Extranjeros,Hombres,2020,2.376,12,Castellón/Castelló
536,65 y más,Extranjeros,Hombres,2019,2.126,12,Castellón/Castelló
537,65 y más,Extranjeros,Mujeres,2021,3.067,12,Castellón/Castelló
538,65 y más,Extranjeros,Mujeres,2020,2.873,12,Castellón/Castelló
539,65 y más,Extranjeros,Mujeres,2019,2.542,12,Castellón/Castelló
540,0-15 años,Españoles,Hombres,2021,34.558,13,Ciudad Real
541,0-15 años,Españoles,Hombres,2020,35.290,13,Ciudad Real
542,0-15 años,Españoles,Hombres,2019,35.791,13,Ciudad Real
543,0-15 años,Españoles,Mujeres,2021,32.927,13,Ciudad Real
544,0-15 años,Españoles,Mujeres,2020,33.501,13,Ciudad Real
545,0-15 años,Españoles,Mujeres,2019,34.087,13,Ciudad Real
546,0-15 años,Extranjeros,Hombres,2021,2.796,13,Ciudad Real
547,0-15 años,Extranjeros,Hombres,2020,2.868,13,Ciudad Real
548,0-15 años,Extranjeros,Hombres,2019,2.772,13,Ciudad Real
549,0-15 años,Extranjeros,Mujeres,2021,2.641,13,Ciudad Real
550,0-15 años,Extranjeros,Mujeres,2020,2.668,13,Ciudad Real
551,0-15 años,Extranjeros,Mujeres,2019,2.608,13,Ciudad Real
552,16-64 años,Españoles,Hombres,2021,150.339,13,Ciudad Real
553,16-64 años,Españoles,Hombres,2020,150.541,13,Ciudad Real
554,16-64 años,Españoles,Hombres,2019,151.651,13,Ciudad Real
555,16-64 años,Españoles,Mujeres,2021,144.496,13,Ciudad Real
556,16-64 años,Españoles,Mujeres,2020,144.851,13,Ciudad Real
557,16-64 años,Españoles,Mujeres,2019,146.008,13,Ciudad Real
558,16-64 años,Extranjeros,Hombres,2021,12.755,13,Ciudad Real
559,16-64 años,Extranjeros,Hombres,2020,12.612,13,Ciudad Real
560,16-64 años,Extranjeros,Hombres,2019,11.486,13,Ciudad Real
561,16-64 años,Extranjeros,Mujeres,2021,12.061,13,Ciudad Real
562,16-64 años,Extranjeros,Mujeres,2020,12.018,13,Ciudad Real
563,16-64 años,Extranjeros,Mujeres,2019,11.253,13,Ciudad Real
564,65 y más,Españoles,Hombres,2021,42.929,13,Ciudad Real
565,65 y más,Españoles,Hombres,2020,43.184,13,Ciudad Real
566,65 y más,Españoles,Hombres,2019,42.885,13,Ciudad Real
567,65 y más,Españoles,Mujeres,2021,56.147,13,Ciudad Real
568,65 y más,Españoles,Mujeres,2020,56.655,13,Ciudad Real
569,65 y más,Españoles,Mujeres,2019,56.492,13,Ciudad Real
570,65 y más,Extranjeros,Hombres,2021,386,13,Ciudad Real
571,65 y más,Extranjeros,Hombres,2020,347,13,Ciudad Real
572,65 y más,Extranjeros,Hombres,2019,292,13,Ciudad Real
573,65 y más,Extranjeros,Mujeres,2021,556,13,Ciudad Real
574,65 y más,Extranjeros,Mujeres,2020,510,13,Ciudad Real
575,65 y más,Extranjeros,Mujeres,2019,436,13,Ciudad Real
576,0-15 años,Españoles,Hombres,2021,59.029,14,Córdoba
577,0-15 años,Españoles,Hombres,2020,60.452,14,Córdoba
578,0-15 años,Españoles,Hombres,2019,61.585,14,Córdoba
579,0-15 años,Españoles,Mujeres,2021,55.624,14,Córdoba
580,0-15 años,Españoles,Mujeres,2020,56.893,14,Córdoba
581,0-15 años,Españoles,Mujeres,2019,57.948,14,Córdoba
582,0-15 años,Extranjeros,Hombres,2021,1.721,14,Córdoba
583,0-15 años,Extranjeros,Hombres,2020,1.826,14,Córdoba
584,0-15 años,Extranjeros,Hombres,2019,1.668,14,Córdoba
585,0-15 años,Extranjeros,Mujeres,2021,1.567,14,Córdoba
586,0-15 años,Extranjeros,Mujeres,2020,1.697,14,Córdoba
587,0-15 años,Extranjeros,Mujeres,2019,1.593,14,Córdoba
588,16-64 años,Españoles,Hombres,2021,245.710,14,Córdoba
589,16-64 años,Españoles,Hombres,2020,247.127,14,Córdoba
590,16-64 años,Españoles,Hombres,2019,248.376,14,Córdoba
591,16-64 años,Españoles,Mujeres,2021,241.627,14,Córdoba
592,16-64 años,Españoles,Mujeres,2020,242.985,14,Córdoba
593,16-64 años,Españoles,Mujeres,2019,244.282,14,Córdoba
594,16-64 años,Extranjeros,Hombres,2021,8.029,14,Córdoba
595,16-64 años,Extranjeros,Hombres,2020,8.340,14,Córdoba
596,16-64 años,Extranjeros,Hombres,2019,8.107,14,Córdoba
597,16-64 años,Extranjeros,Mujeres,2021,9.492,14,Córdoba
598,16-64 años,Extranjeros,Mujeres,2020,9.665,14,Córdoba
599,16-64 años,Extranjeros,Mujeres,2019,8.876,14,Córdoba
600,65 y más,Españoles,Hombres,2021,65.501,14,Córdoba
601,65 y más,Españoles,Hombres,2020,64.690,14,Córdoba
602,65 y más,Españoles,Hombres,2019,63.664,14,Córdoba
603,65 y más,Españoles,Mujeres,2021,87.453,14,Córdoba
604,65 y más,Españoles,Mujeres,2020,86.792,14,Córdoba
605,65 y más,Españoles,Mujeres,2019,86.021,14,Córdoba
606,65 y más,Extranjeros,Hombres,2021,483,14,Córdoba
607,65 y más,Extranjeros,Hombres,2020,451,14,Córdoba
608,65 y más,Extranjeros,Hombres,2019,390,14,Córdoba
609,65 y más,Extranjeros,Mujeres,2021,553,14,Córdoba
610,65 y más,Extranjeros,Mujeres,2020,533,14,Córdoba
611,65 y más,Extranjeros,Mujeres,2019,469,14,Córdoba
612,0-15 años,Españoles,Hombres,2021,69.937,15,"Coruña, A"
613,0-15 años,Españoles,Hombres,2020,71.188,15,"Coruña, A"
614,0-15 años,Españoles,Hombres,2019,72.128,15,"Coruña, A"
615,0-15 años,Españoles,Mujeres,2021,65.916,15,"Coruña, A"
616,0-15 años,Españoles,Mujeres,2020,66.983,15,"Coruña, A"
617,0-15 años,Españoles,Mujeres,2019,67.916,15,"Coruña, A"
618,0-15 años,Extranjeros,Hombres,2021,2.926,15,"Coruña, A"
619,0-15 años,Extranjeros,Hombres,2020,2.874,15,"Coruña, A"
620,0-15 años,Extranjeros,Hombres,2019,2.502,15,"Coruña, A"
621,0-15 años,Extranjeros,Mujeres,2021,2.738,15,"Coruña, A"
622,0-15 años,Extranjeros,Mujeres,2020,2.683,15,"Coruña, A"
623,0-15 años,Extranjeros,Mujeres,2019,2.349,15,"Coruña, A"
624,16-64 años,Españoles,Hombres,2021,327.408,15,"Coruña, A"
625,16-64 años,Españoles,Hombres,2020,328.955,15,"Coruña, A"
626,16-64 años,Españoles,Hombres,2019,330.911,15,"Coruña, A"
627,16-64 años,Españoles,Mujeres,2021,333.264,15,"Coruña, A"
628,16-64 años,Españoles,Mujeres,2020,335.013,15,"Coruña, A"
629,16-64 años,Españoles,Mujeres,2019,337.395,15,"Coruña, A"
630,16-64 años,Extranjeros,Hombres,2021,16.739,15,"Coruña, A"
631,16-64 años,Extranjeros,Hombres,2020,16.426,15,"Coruña, A"
632,16-64 años,Extranjeros,Hombres,2019,14.500,15,"Coruña, A"
633,16-64 años,Extranjeros,Mujeres,2021,18.857,15,"Coruña, A"
634,16-64 años,Extranjeros,Mujeres,2020,18.461,15,"Coruña, A"
635,16-64 años,Extranjeros,Mujeres,2019,16.531,15,"Coruña, A"
636,65 y más,Españoles,Hombres,2021,118.885,15,"Coruña, A"
637,65 y más,Españoles,Hombres,2020,117.260,15,"Coruña, A"
638,65 y más,Españoles,Hombres,2019,115.501,15,"Coruña, A"
639,65 y más,Españoles,Mujeres,2021,160.778,15,"Coruña, A"
640,65 y más,Españoles,Mujeres,2020,159.364,15,"Coruña, A"
641,65 y más,Españoles,Mujeres,2019,157.638,15,"Coruña, A"
642,65 y más,Extranjeros,Hombres,2021,1.109,15,"Coruña, A"
643,65 y más,Extranjeros,Hombres,2020,1.078,15,"Coruña, A"
644,65 y más,Extranjeros,Hombres,2019,928,15,"Coruña, A"
645,65 y más,Extranjeros,Mujeres,2021,1.577,15,"Coruña, A"
646,65 y más,Extranjeros,Mujeres,2020,1.530,15,"Coruña, A"
647,65 y más,Extranjeros,Mujeres,2019,1.297,15,"Coruña, A"
648,0-15 años,Españoles,Hombres,2021,10.857,16,Cuenca
649,0-15 años,Españoles,Hombres,2020,10.996,16,Cuenca
650,0-15 años,Españoles,Hombres,2019,11.236,16,Cuenca
651,0-15 años,Españoles,Mujeres,2021,10.481,16,Cuenca
652,0-15 años,Españoles,Mujeres,2020,10.658,16,Cuenca
653,0-15 años,Españoles,Mujeres,2019,10.956,16,Cuenca
654,0-15 años,Extranjeros,Hombres,2021,2.156,16,Cuenca
655,0-15 años,Extranjeros,Hombres,2020,2.140,16,Cuenca
656,0-15 años,Extranjeros,Hombres,2019,2.058,16,Cuenca
657,0-15 años,Extranjeros,Mujeres,2021,2.119,16,Cuenca
658,0-15 años,Extranjeros,Mujeres,2020,2.071,16,Cuenca
659,0-15 años,Extranjeros,Mujeres,2019,1.981,16,Cuenca
660,16-64 años,Españoles,Hombres,2021,55.942,16,Cuenca
661,16-64 años,Españoles,Hombres,2020,55.917,16,Cuenca
662,16-64 años,Españoles,Hombres,2019,56.430,16,Cuenca
663,16-64 años,Españoles,Mujeres,2021,51.596,16,Cuenca
664,16-64 años,Españoles,Mujeres,2020,51.410,16,Cuenca
665,16-64 años,Españoles,Mujeres,2019,51.754,16,Cuenca
666,16-64 años,Extranjeros,Hombres,2021,8.935,16,Cuenca
667,16-64 años,Extranjeros,Hombres,2020,8.867,16,Cuenca
668,16-64 años,Extranjeros,Hombres,2019,8.203,16,Cuenca
669,16-64 años,Extranjeros,Mujeres,2021,8.532,16,Cuenca
670,16-64 años,Extranjeros,Mujeres,2020,8.511,16,Cuenca
671,16-64 años,Extranjeros,Mujeres,2019,7.872,16,Cuenca
672,65 y más,Españoles,Hombres,2021,19.987,16,Cuenca
673,65 y más,Españoles,Hombres,2020,20.286,16,Cuenca
674,65 y más,Españoles,Hombres,2019,20.433,16,Cuenca
675,65 y más,Españoles,Mujeres,2021,24.326,16,Cuenca
676,65 y más,Españoles,Mujeres,2020,24.741,16,Cuenca
677,65 y más,Españoles,Mujeres,2019,24.949,16,Cuenca
678,65 y más,Extranjeros,Hombres,2021,241,16,Cuenca
679,65 y más,Extranjeros,Hombres,2020,224,16,Cuenca
680,65 y más,Extranjeros,Hombres,2019,182,16,Cuenca
681,65 y más,Extranjeros,Mujeres,2021,344,16,Cuenca
682,65 y más,Extranjeros,Mujeres,2020,318,16,Cuenca
683,65 y más,Extranjeros,Mujeres,2019,275,16,Cuenca
684,0-15 años,Españoles,Hombres,2021,50.212,20,Gipuzkoa
685,0-15 años,Españoles,Hombres,2020,51.302,20,Gipuzkoa
686,0-15 años,Españoles,Hombres,2019,52.413,20,Gipuzkoa
687,0-15 años,Españoles,Mujeres,2021,47.546,20,Gipuzkoa
688,0-15 años,Españoles,Mujeres,2020,48.607,20,Gipuzkoa
689,0-15 años,Españoles,Mujeres,2019,49.541,20,Gipuzkoa
690,0-15 años,Extranjeros,Hombres,2021,5.062,20,Gipuzkoa
691,0-15 años,Extranjeros,Hombres,2020,5.127,20,Gipuzkoa
692,0-15 años,Extranjeros,Hombres,2019,4.822,20,Gipuzkoa
693,0-15 años,Extranjeros,Mujeres,2021,4.690,20,Gipuzkoa
694,0-15 años,Extranjeros,Mujeres,2020,4.726,20,Gipuzkoa
695,0-15 años,Extranjeros,Mujeres,2019,4.390,20,Gipuzkoa
696,16-64 años,Españoles,Hombres,2021,203.882,20,Gipuzkoa
697,16-64 años,Españoles,Hombres,2020,204.684,20,Gipuzkoa
698,16-64 años,Españoles,Hombres,2019,205.401,20,Gipuzkoa
699,16-64 años,Españoles,Mujeres,2021,200.437,20,Gipuzkoa
700,16-64 años,Españoles,Mujeres,2020,200.937,20,Gipuzkoa
701,16-64 años,Españoles,Mujeres,2019,201.907,20,Gipuzkoa
702,16-64 años,Extranjeros,Hombres,2021,24.570,20,Gipuzkoa
703,16-64 años,Extranjeros,Hombres,2020,24.000,20,Gipuzkoa
704,16-64 años,Extranjeros,Hombres,2019,21.967,20,Gipuzkoa
705,16-64 años,Extranjeros,Mujeres,2021,24.617,20,Gipuzkoa
706,16-64 años,Extranjeros,Mujeres,2020,24.520,20,Gipuzkoa
707,16-64 años,Extranjeros,Mujeres,2019,22.471,20,Gipuzkoa
708,65 y más,Españoles,Hombres,2021,70.110,20,Gipuzkoa
709,65 y más,Españoles,Hombres,2020,69.219,20,Gipuzkoa
710,65 y más,Españoles,Hombres,2019,68.054,20,Gipuzkoa
711,65 y más,Españoles,Mujeres,2021,92.868,20,Gipuzkoa
712,65 y más,Españoles,Mujeres,2020,92.087,20,Gipuzkoa
713,65 y más,Españoles,Mujeres,2019,90.965,20,Gipuzkoa
714,65 y más,Extranjeros,Hombres,2021,881,20,Gipuzkoa
715,65 y más,Extranjeros,Hombres,2020,798,20,Gipuzkoa
716,65 y más,Extranjeros,Hombres,2019,706,20,Gipuzkoa
717,65 y más,Extranjeros,Mujeres,2021,1.158,20,Gipuzkoa
718,65 y más,Extranjeros,Mujeres,2020,1.114,20,Gipuzkoa
719,65 y más,Extranjeros,Mujeres,2019,939,20,Gipuzkoa
720,0-15 años,Españoles,Hombres,2021,53.471,17,Girona
721,0-15 años,Españoles,Hombres,2020,53.828,17,Girona
722,0-15 años,Españoles,Hombres,2019,54.248,17,Girona
723,0-15 años,Españoles,Mujeres,2021,50.482,17,Girona
724,0-15 años,Españoles,Mujeres,2020,50.953,17,Girona
725,0-15 años,Españoles,Mujeres,2019,51.376,17,Girona
726,0-15 años,Extranjeros,Hombres,2021,13.802,17,Girona
727,0-15 años,Extranjeros,Hombres,2020,14.334,17,Girona
728,0-15 años,Extranjeros,Hombres,2019,13.971,17,Girona
729,0-15 años,Extranjeros,Mujeres,2021,13.105,17,Girona
730,0-15 años,Extranjeros,Mujeres,2020,13.514,17,Girona
731,0-15 años,Extranjeros,Mujeres,2019,13.168,17,Girona
732,16-64 años,Españoles,Hombres,2021,197.933,17,Girona
733,16-64 años,Españoles,Hombres,2020,196.297,17,Girona
734,16-64 años,Españoles,Hombres,2019,195.944,17,Girona
735,16-64 años,Españoles,Mujeres,2021,192.809,17,Girona
736,16-64 años,Españoles,Mujeres,2020,190.821,17,Girona
737,16-64 años,Españoles,Mujeres,2019,190.175,17,Girona
738,16-64 años,Extranjeros,Hombres,2021,64.181,17,Girona
739,16-64 años,Extranjeros,Hombres,2020,63.955,17,Girona
740,16-64 años,Extranjeros,Hombres,2019,59.832,17,Girona
741,16-64 años,Extranjeros,Mujeres,2021,57.456,17,Girona
742,16-64 años,Extranjeros,Mujeres,2020,57.646,17,Girona
743,16-64 años,Extranjeros,Mujeres,2019,54.906,17,Girona
744,65 y más,Españoles,Hombres,2021,58.981,17,Girona
745,65 y más,Españoles,Hombres,2020,57.653,17,Girona
746,65 y más,Españoles,Hombres,2019,56.410,17,Girona
747,65 y más,Españoles,Mujeres,2021,72.890,17,Girona
748,65 y más,Españoles,Mujeres,2020,71.801,17,Girona
749,65 y más,Españoles,Mujeres,2019,70.583,17,Girona
750,65 y más,Extranjeros,Hombres,2021,5.401,17,Girona
751,65 y más,Extranjeros,Hombres,2020,5.116,17,Girona
752,65 y más,Extranjeros,Hombres,2019,4.893,17,Girona
753,65 y más,Extranjeros,Mujeres,2021,6.085,17,Girona
754,65 y más,Extranjeros,Mujeres,2020,5.870,17,Girona
755,65 y más,Extranjeros,Mujeres,2019,5.538,17,Girona
756,0-15 años,Españoles,Hombres,2021,68.986,18,Granada
757,0-15 años,Españoles,Hombres,2020,70.402,18,Granada
758,0-15 años,Españoles,Hombres,2019,71.218,18,Granada
759,0-15 años,Españoles,Mujeres,2021,65.314,18,Granada
760,0-15 años,Españoles,Mujeres,2020,66.405,18,Granada
761,0-15 años,Españoles,Mujeres,2019,67.243,18,Granada
762,0-15 años,Extranjeros,Hombres,2021,4.705,18,Granada
763,0-15 años,Extranjeros,Hombres,2020,4.640,18,Granada
764,0-15 años,Extranjeros,Hombres,2019,4.280,18,Granada
765,0-15 años,Extranjeros,Mujeres,2021,4.524,18,Granada
766,0-15 años,Extranjeros,Mujeres,2020,4.383,18,Granada
767,0-15 años,Extranjeros,Mujeres,2019,4.016,18,Granada
768,16-64 años,Españoles,Hombres,2021,279.104,18,Granada
769,16-64 años,Españoles,Hombres,2020,278.728,18,Granada
770,16-64 años,Españoles,Hombres,2019,279.046,18,Granada
771,16-64 años,Españoles,Mujeres,2021,277.717,18,Granada
772,16-64 años,Españoles,Mujeres,2020,277.335,18,Granada
773,16-64 años,Españoles,Mujeres,2019,277.519,18,Granada
774,16-64 años,Extranjeros,Hombres,2021,27.404,18,Granada
775,16-64 años,Extranjeros,Hombres,2020,26.360,18,Granada
776,16-64 años,Extranjeros,Hombres,2019,24.732,18,Granada
777,16-64 años,Extranjeros,Mujeres,2021,25.281,18,Granada
778,16-64 años,Extranjeros,Mujeres,2020,24.384,18,Granada
779,16-64 años,Extranjeros,Mujeres,2019,22.594,18,Granada
780,65 y más,Españoles,Hombres,2021,70.787,18,Granada
781,65 y más,Españoles,Hombres,2020,69.771,18,Granada
782,65 y más,Españoles,Hombres,2019,68.599,18,Granada
783,65 y más,Españoles,Mujeres,2021,92.056,18,Granada
784,65 y más,Españoles,Mujeres,2020,91.372,18,Granada
785,65 y más,Españoles,Mujeres,2019,90.084,18,Granada
786,65 y más,Extranjeros,Hombres,2021,2.697,18,Granada
787,65 y más,Extranjeros,Hombres,2020,2.694,18,Granada
788,65 y más,Extranjeros,Hombres,2019,2.680,18,Granada
789,65 y más,Extranjeros,Mujeres,2021,2.763,18,Granada
790,65 y más,Extranjeros,Mujeres,2020,2.694,18,Granada
791,65 y más,Extranjeros,Mujeres,2019,2.667,18,Granada
792,0-15 años,Españoles,Hombres,2021,19.872,19,Guadalajara
793,0-15 años,Españoles,Hombres,2020,19.939,19,Guadalajara
794,0-15 años,Españoles,Hombres,2019,20.148,19,Guadalajara
795,0-15 años,Españoles,Mujeres,2021,18.879,19,Guadalajara
796,0-15 años,Españoles,Mujeres,2020,19.001,19,Guadalajara
797,0-15 años,Españoles,Mujeres,2019,19.231,19,Guadalajara
798,0-15 años,Extranjeros,Hombres,2021,3.443,19,Guadalajara
799,0-15 años,Extranjeros,Hombres,2020,3.398,19,Guadalajara
800,0-15 años,Extranjeros,Hombres,2019,3.151,19,Guadalajara
801,0-15 años,Extranjeros,Mujeres,2021,3.148,19,Guadalajara
802,0-15 años,Extranjeros,Mujeres,2020,3.092,19,Guadalajara
803,0-15 años,Extranjeros,Mujeres,2019,2.909,19,Guadalajara
804,16-64 años,Españoles,Hombres,2021,77.272,19,Guadalajara
805,16-64 años,Españoles,Hombres,2020,75.941,19,Guadalajara
806,16-64 años,Españoles,Hombres,2019,75.205,19,Guadalajara
807,16-64 años,Españoles,Mujeres,2021,71.877,19,Guadalajara
808,16-64 años,Españoles,Mujeres,2020,70.600,19,Guadalajara
809,16-64 años,Españoles,Mujeres,2019,70.015,19,Guadalajara
810,16-64 años,Extranjeros,Hombres,2021,14.326,19,Guadalajara
811,16-64 años,Extranjeros,Hombres,2020,14.086,19,Guadalajara
812,16-64 años,Extranjeros,Hombres,2019,12.995,19,Guadalajara
813,16-64 años,Extranjeros,Mujeres,2021,13.974,19,Guadalajara
814,16-64 años,Extranjeros,Mujeres,2020,13.698,19,Guadalajara
815,16-64 años,Extranjeros,Mujeres,2019,12.739,19,Guadalajara
816,65 y más,Españoles,Hombres,2021,19.183,19,Guadalajara
817,65 y más,Españoles,Hombres,2020,19.006,19,Guadalajara
818,65 y más,Españoles,Hombres,2019,18.616,19,Guadalajara
819,65 y más,Españoles,Mujeres,2021,22.259,19,Guadalajara
820,65 y más,Españoles,Mujeres,2020,21.999,19,Guadalajara
821,65 y más,Españoles,Mujeres,2019,21.681,19,Guadalajara
822,65 y más,Extranjeros,Hombres,2021,528,19,Guadalajara
823,65 y más,Extranjeros,Hombres,2020,469,19,Guadalajara
824,65 y más,Extranjeros,Hombres,2019,419,19,Guadalajara
825,65 y más,Extranjeros,Mujeres,2021,827,19,Guadalajara
826,65 y más,Extranjeros,Mujeres,2020,766,19,Guadalajara
827,65 y más,Extranjeros,Mujeres,2019,653,19,Guadalajara
828,0-15 años,Españoles,Hombres,2021,40.100,21,Huelva
829,0-15 años,Españoles,Hombres,2020,40.738,21,Huelva
830,0-15 años,Españoles,Hombres,2019,41.364,21,Huelva
831,0-15 años,Españoles,Mujeres,2021,37.778,21,Huelva
832,0-15 años,Españoles,Mujeres,2020,38.263,21,Huelva
833,0-15 años,Españoles,Mujeres,2019,38.791,21,Huelva
834,0-15 años,Extranjeros,Hombres,2021,3.376,21,Huelva
835,0-15 años,Extranjeros,Hombres,2020,3.348,21,Huelva
836,0-15 años,Extranjeros,Hombres,2019,3.145,21,Huelva
837,0-15 años,Extranjeros,Mujeres,2021,3.036,21,Huelva
838,0-15 años,Extranjeros,Mujeres,2020,3.061,21,Huelva
839,0-15 años,Extranjeros,Mujeres,2019,2.876,21,Huelva
840,16-64 años,Españoles,Hombres,2021,157.874,21,Huelva
841,16-64 años,Españoles,Hombres,2020,157.764,21,Huelva
842,16-64 años,Españoles,Hombres,2019,158.091,21,Huelva
843,16-64 años,Españoles,Mujeres,2021,153.436,21,Huelva
844,16-64 años,Españoles,Mujeres,2020,153.541,21,Huelva
845,16-64 años,Españoles,Mujeres,2019,153.620,21,Huelva
846,16-64 años,Extranjeros,Hombres,2021,19.197,21,Huelva
847,16-64 años,Extranjeros,Hombres,2020,18.557,21,Huelva
848,16-64 años,Extranjeros,Hombres,2019,17.489,21,Huelva
849,16-64 años,Extranjeros,Mujeres,2021,20.809,21,Huelva
850,16-64 años,Extranjeros,Mujeres,2020,20.653,21,Huelva
851,16-64 años,Extranjeros,Mujeres,2019,19.664,21,Huelva
852,65 y más,Españoles,Hombres,2021,39.046,21,Huelva
853,65 y más,Españoles,Hombres,2020,38.161,21,Huelva
854,65 y más,Españoles,Hombres,2019,37.463,21,Huelva
855,65 y más,Españoles,Mujeres,2021,49.297,21,Huelva
856,65 y más,Españoles,Mujeres,2020,48.431,21,Huelva
857,65 y más,Españoles,Mujeres,2019,47.703,21,Huelva
858,65 y más,Extranjeros,Hombres,2021,988,21,Huelva
859,65 y más,Extranjeros,Hombres,2020,928,21,Huelva
860,65 y más,Extranjeros,Hombres,2019,861,21,Huelva
861,65 y más,Extranjeros,Mujeres,2021,898,21,Huelva
862,65 y más,Extranjeros,Mujeres,2020,833,21,Huelva
863,65 y más,Extranjeros,Mujeres,2019,803,21,Huelva
864,0-15 años,Españoles,Hombres,2021,13.906,22,Huesca
865,0-15 años,Españoles,Hombres,2020,14.036,22,Huesca
866,0-15 años,Españoles,Hombres,2019,14.118,22,Huesca
867,0-15 años,Españoles,Mujeres,2021,13.365,22,Huesca
868,0-15 años,Españoles,Mujeres,2020,13.550,22,Huesca
869,0-15 años,Españoles,Mujeres,2019,13.659,22,Huesca
870,0-15 años,Extranjeros,Hombres,2021,2.527,22,Huesca
871,0-15 años,Extranjeros,Hombres,2020,2.475,22,Huesca
872,0-15 años,Extranjeros,Hombres,2019,2.214,22,Huesca
873,0-15 años,Extranjeros,Mujeres,2021,2.187,22,Huesca
874,0-15 años,Extranjeros,Mujeres,2020,2.111,22,Huesca
875,0-15 años,Extranjeros,Mujeres,2019,1.947,22,Huesca
876,16-64 años,Españoles,Hombres,2021,61.843,22,Huesca
877,16-64 años,Españoles,Hombres,2020,61.476,22,Huesca
878,16-64 años,Españoles,Hombres,2019,61.867,22,Huesca
879,16-64 años,Españoles,Mujeres,2021,56.913,22,Huesca
880,16-64 años,Españoles,Mujeres,2020,56.638,22,Huesca
881,16-64 años,Españoles,Mujeres,2019,56.932,22,Huesca
882,16-64 años,Extranjeros,Hombres,2021,12.502,22,Huesca
883,16-64 años,Extranjeros,Hombres,2020,11.895,22,Huesca
884,16-64 años,Extranjeros,Hombres,2019,10.611,22,Huesca
885,16-64 años,Extranjeros,Mujeres,2021,10.725,22,Huesca
886,16-64 años,Extranjeros,Mujeres,2020,10.550,22,Huesca
887,16-64 años,Extranjeros,Mujeres,2019,9.615,22,Huesca
888,65 y más,Españoles,Hombres,2021,22.436,22,Huesca
889,65 y más,Españoles,Hombres,2020,22.248,22,Huesca
890,65 y más,Españoles,Hombres,2019,22.098,22,Huesca
891,65 y más,Españoles,Mujeres,2021,26.977,22,Huesca
892,65 y más,Españoles,Mujeres,2020,26.914,22,Huesca
893,65 y más,Españoles,Mujeres,2019,26.711,22,Huesca
894,65 y más,Extranjeros,Hombres,2021,393,22,Huesca
895,65 y más,Extranjeros,Hombres,2020,349,22,Huesca
896,65 y más,Extranjeros,Hombres,2019,320,22,Huesca
897,65 y más,Extranjeros,Mujeres,2021,490,22,Huesca
898,65 y más,Extranjeros,Mujeres,2020,445,22,Huesca
899,65 y más,Extranjeros,Mujeres,2019,369,22,Huesca
900,0-15 años,Españoles,Hombres,2021,45.957,23,Jaén
901,0-15 años,Españoles,Hombres,2020,46.775,23,Jaén
902,0-15 años,Españoles,Hombres,2019,48.148,23,Jaén
903,0-15 años,Españoles,Mujeres,2021,43.570,23,Jaén
904,0-15 años,Españoles,Mujeres,2020,44.371,23,Jaén
905,0-15 años,Españoles,Mujeres,2019,45.724,23,Jaén
906,0-15 años,Extranjeros,Hombres,2021,1.246,23,Jaén
907,0-15 años,Extranjeros,Hombres,2020,1.187,23,Jaén
908,0-15 años,Extranjeros,Hombres,2019,1.105,23,Jaén
909,0-15 años,Extranjeros,Mujeres,2021,1.144,23,Jaén
910,0-15 años,Extranjeros,Mujeres,2020,1.109,23,Jaén
911,0-15 años,Extranjeros,Mujeres,2019,1.080,23,Jaén
912,16-64 años,Españoles,Hombres,2021,202.720,23,Jaén
913,16-64 años,Españoles,Hombres,2020,203.969,23,Jaén
914,16-64 años,Españoles,Hombres,2019,205.221,23,Jaén
915,16-64 años,Españoles,Mujeres,2021,195.671,23,Jaén
916,16-64 años,Españoles,Mujeres,2020,196.708,23,Jaén
917,16-64 años,Españoles,Mujeres,2019,198.108,23,Jaén
918,16-64 años,Extranjeros,Hombres,2021,7.305,23,Jaén
919,16-64 años,Extranjeros,Hombres,2020,7.188,23,Jaén
920,16-64 años,Extranjeros,Hombres,2019,6.811,23,Jaén
921,16-64 años,Extranjeros,Mujeres,2021,6.362,23,Jaén
922,16-64 años,Extranjeros,Mujeres,2020,6.178,23,Jaén
923,16-64 años,Extranjeros,Mujeres,2019,5.695,23,Jaén
924,65 y más,Españoles,Hombres,2021,52.681,23,Jaén
925,65 y más,Españoles,Hombres,2020,52.876,23,Jaén
926,65 y más,Españoles,Hombres,2019,51.736,23,Jaén
927,65 y más,Españoles,Mujeres,2021,69.691,23,Jaén
928,65 y más,Españoles,Mujeres,2020,70.269,23,Jaén
929,65 y más,Españoles,Mujeres,2019,69.255,23,Jaén
930,65 y más,Extranjeros,Hombres,2021,414,23,Jaén
931,65 y más,Extranjeros,Hombres,2020,369,23,Jaén
932,65 y más,Extranjeros,Hombres,2019,335,23,Jaén
933,65 y más,Extranjeros,Mujeres,2021,429,23,Jaén
934,65 y más,Extranjeros,Mujeres,2020,382,23,Jaén
935,65 y más,Extranjeros,Mujeres,2019,346,23,Jaén
936,0-15 años,Españoles,Hombres,2021,24.361,24,León
937,0-15 años,Españoles,Hombres,2020,24.920,24,León
938,0-15 años,Españoles,Hombres,2019,25.452,24,León
939,0-15 años,Españoles,Mujeres,2021,23.011,24,León
940,0-15 años,Españoles,Mujeres,2020,23.546,24,León
941,0-15 años,Españoles,Mujeres,2019,24.195,24,León
942,0-15 años,Extranjeros,Hombres,2021,1.472,24,León
943,0-15 años,Extranjeros,Hombres,2020,1.540,24,León
